"Jurisdiction","Precinct","Race","Candidate","Votes"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department 15","HARDY, DAVID A.","*"
"Washoe","GER-WADS 7589","Supreme Court Justice, Seat D","HERNDON, DOUGLAS","*"
"Washoe","GER-WADS 7589","President and Vice President of the United States","JORGENSEN, JO","*"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department  5 Family Division","Lu, Cynthia","*"
"Washoe","GER-WADS 7589","President and Vice President of the United States","None Of These Candidates","*"
"Washoe","GER-WADS 7589","Supreme Court Justice, Seat B","None Of These Candidates","*"
"Washoe","GER-WADS 7589","Supreme Court Justice, Seat D","None Of These Candidates","*"
"Washoe","GER-WADS 7589","Court of Appeals Judge, Department 3","None Of These Candidates","*"
"Washoe","GER-WADS 7589","Supreme Court Justice, Seat B","Pickering, Kristina","*"
"Washoe","GER-WADS 7589","State Assembly, District 32","POVILAITIS, PAULA","*"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department  3","RIGGS, TAMMY M.","*"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department 13 Family Division","ROBB, BRIDGET E.","*"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department 10","SATTLER, ELLIOTT A.","*"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department 14 Family Division","SCHREINERT, TAMATHA R.","*"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department 11 Family Division","SHANNON, GREG","*"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department 10","SIGURDSON, KATHLEEN A.","*"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department  6","SIMONS, LYNNE K.","*"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department  4","STEINHEIMER, CONNIE","*"
"Washoe","GER-WADS 7589","President and Vice President of the United States","TRUMP, DONALD J.","*"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department 12 Family Division","UNSWORTH, SANDRA A.","*"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department  7","WALKER, EGAN K.","*"
"Washoe","GER-WADS 9408 (MP)","U.S. Representative in Congress, District 2","ACKERMAN, PATRICIA","*"
"Washoe","GER-WADS 9408 (MP)","U.S. Representative in Congress, District 2","Amodei, Mark E.","*"
"Washoe","GER-WADS 9408 (MP)","COUNTY COMMISSION, DISTRICT 4","BAKER, MARIE","*"
"Washoe","GER-WADS 9408 (MP)","Palomino Valley General Improvement District","BAKER, TOM","*"
"Washoe","GER-WADS 9408 (MP)","District Court Judge, District 2, Department 16 Family Division","BANALES, AMIEE","*"
"Washoe","GER-WADS 9408 (MP)","President and Vice President of the United States","BIDEN, JOSEPH R.","*"
"Washoe","GER-WADS 9408 (MP)","President and Vice President of the United States","BLANKENSHIP, DON","*"
"Washoe","GER-WADS 9408 (MP)","District Court Judge, District 2, Department  8","BRESLOW, BARRY LOUIS","*"
"Washoe","GER-WADS 9408 (MP)","Court of Appeals Judge, Department 3","Bulla, Bonnie","*"
"Washoe","GER-WADS 9408 (MP)","Court of Appeals Judge, Department 3","BUSH, SUSAN","*"
"Washoe","GER-WADS 9408 (MP)","District Court Judge, District 2, Department 13 Family Division","BUSHUR, AARON","*"
"Washoe","GER-WADS 9408 (MP)","Palomino Valley General Improvement District","CHESNEY, LARRY","*"
"Washoe","GER-WADS 9408 (MP)","Palomino Valley General Improvement District","Currivan, James","*"
"Washoe","GER-WADS 9408 (MP)","District Court Judge, District 2, Department 11 Family Division","DOLLINGER, PAIGE","*"
"Washoe","GER-WADS 9408 (MP)","District Court Judge, District 2, Department  1","Drakulich, Kathleen M.","*"
"Washoe","GER-WADS 9408 (MP)","District Court Judge, District 2, Department  9","Freeman, Scott N.","*"
"Washoe","GER-WADS 9408 (MP)","Supreme Court Justice, Seat D","FUMO, Ozzie","*"
"Washoe","GER-WADS 9408 (MP)","District Court Judge, District 2, Department  2","Grossman, Dixie","*"
"Washoe","GER-WADS 9408 (MP)","State Assembly, District 32","Hansen, Alexis M.","*"
"Washoe","GER-WADS 9408 (MP)","U.S. Representative in Congress, District 2","HANSEN, JANINE","*"
"Washoe","GER-WADS 9408 (MP)","District Court Judge, District 2, Department 15","HARDY, DAVID A.","*"
"Washoe","GER-WADS 9408 (MP)","COUNTY COMMISSION, DISTRICT 4","HARTUNG, VAUGHN","*"
"Washoe","GER-WADS 9408 (MP)","Palomino Valley General Improvement District","HELTON, CHRISTOPHER","*"
"Washoe","GER-WADS 9408 (MP)","Supreme Court Justice, Seat D","HERNDON, DOUGLAS","*"
"Washoe","GER-WADS 9408 (MP)","President and Vice President of the United States","JORGENSEN, JO","*"
"Washoe","GER-WADS 9408 (MP)","District Court Judge, District 2, Department  5 Family Division","Lu, Cynthia","*"
"Washoe","GER-WADS 9408 (MP)","Court of Appeals Judge, Department 3","None Of These Candidates","*"
"Washoe","GER-WADS 9408 (MP)","Supreme Court Justice, Seat B","None Of These Candidates","*"
"Washoe","GER-WADS 9408 (MP)","Supreme Court Justice, Seat D","None Of These Candidates","*"
